dt_feature,source_normal_dispersion,analysis_weight,source_normal_threshold,target_normal_threshold,threshold_quantile,target_minus_source_threshold
DT_LIT401,155.541910793392,0.05519053062242344,767.1130818076762,859.1796667516628,0.995,92.06658494398664
DT_LIT301,140.62878309386332,0.06104326863961053,741.3142515157465,849.1931697644812,0.995,107.87891824873475
DT_LIT101,118.68947652560018,0.07232688882678673,1239.5423242167305,1261.7654971564364,0.995,22.22317293970582
DT_PIT501,61.11355277582421,0.14046705052356795,622.5394892751657,1443.8016761646459,0.995,821.2621868894802
DT_AIT203,216.93022616232122,0.03957235816417623,811.1032708306442,833.2040120576884,0.995,22.100741227044182
DT_PIT503,59.28624747508235,0.1447964893496588,466.1246515079853,1102.9889247524818,0.995,636.8642732444965
DT_AIT504,117.66641389144579,0.07295574233160024,2218.905635907858,3061.344584651406,0.995,842.4389487435478
DT_AIT402,118.92053858093695,0.07218635801817012,776.5349647441241,3074.7040311389287,0.995,2298.1690663948048
DT_AIT502,107.33276459665606,0.07997968372642895,611.5680550604746,2753.648727085748,0.995,2142.080672025273
DT_DPIT301,48.97307549526365,0.1585181103222895,254.52858549743382,322.8365027132376,0.995,68.3079172158038
DT_AIT503,131.45576218511223,0.06530288545672298,836.2289804370755,1131.4956705735722,0.995,295.26669013649666
DT_AIT201,227.9420097922737,0.03766063401856444,2479.8916662020574,3422.1535111779176,0.995,942.2618449758602
