dt_feature,evaluation_class,source_threshold_exceedance_rate,target_threshold_exceedance_rate
DT_LIT401,normal,0.06682979534765476,0.021905851446972584
DT_LIT401,attack,0.23742603550295857,0.16309171597633135
DT_LIT301,normal,0.08910639379687302,0.020835981526206516
DT_LIT301,attack,0.26645710059171596,0.183801775147929
DT_LIT101,normal,3.177831447820008e-05,0.0
DT_LIT101,attack,0.0005547337278106509,0.0
DT_PIT501,normal,0.9985381975340027,0.16903944748103894
DT_PIT501,attack,0.9142011834319527,0.29289940828402367
DT_AIT203,normal,0.011599084784543029,0.0038239905088767426
DT_AIT203,attack,0.11667899408284024,0.07988165680473373
DT_PIT503,normal,0.9995021397398415,0.2824774373967205
DT_PIT503,attack,0.9998150887573964,0.36224112426035504
DT_AIT504,normal,0.9986970891063938,0.44034151095292573
DT_AIT504,attack,0.9983357988165681,0.20747041420118342
DT_AIT402,normal,0.999639845769247,0.0823376128130164
DT_AIT402,attack,0.9948224852071006,0.40532544378698226
DT_AIT502,normal,0.9996928096267107,0.06894834964620143
DT_AIT502,attack,0.9937130177514792,0.4260355029585799
DT_DPIT301,normal,0.7869369941951613,0.10411635100207618
DT_DPIT301,attack,0.7263313609467456,0.28143491124260356
DT_AIT503,normal,0.004184144739629677,0.0010169060633024025
DT_AIT503,attack,0.0,0.0
DT_AIT201,normal,2.1185542985466717e-05,0.0
DT_AIT201,attack,0.0,0.0
