agreement_state,n,actual_attack_rate,hybrid_alert_rate,mean_extreme_dt_residuals,elevated_dt_deviation_rate,drift_rate
B3_abnormal__M1_abnormal,1243,0.22043443282381336,1.0,1.3161705551086083,0.3483507642799678,0.0
B3_abnormal__M1_normal,54,0.4444444444444444,1.0,2.0185185185185186,0.5925925925925926,0.0
B3_normal__M1_abnormal,1897,0.3505535055350554,0.573537163943068,2.199261992619926,0.573537163943068,0.0
B3_normal__M1_normal,121570,0.04793945874804639,0.0,1.014394998766143,0.2715637081516822,0.002171588385292424
