start_row,end_row,wasserstein,ks_statistic,wasserstein_limit,ks_limit,drift_flag,threshold_used,baseline_adaptive_threshold,drift_threshold
0,1999,0.01870179521069337,0.5103365431695773,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
500,2499,0.016339781889168004,0.4685154235351722,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
1000,2999,0.01674367494239425,0.47251542353517223,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
1500,3499,0.016902178708465786,0.5230154235351723,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
2000,3999,0.016402652268413243,0.5270154235351723,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
2500,4499,0.019044058445382466,0.5624635493172297,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
3000,4999,0.021538306981355407,0.5702704695065557,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
3500,5499,0.02130236290650147,0.5527727272727273,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
4000,5999,0.019443155464651408,0.5254713290898211,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
4500,6499,0.016564719545172673,0.4480375931668571,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
5000,6999,0.01574026650020497,0.4480375931668571,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
5500,7499,0.016774489171971194,0.47154017735705345,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
6000,7999,0.015407071407567427,0.47154017735705345,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
6500,8499,0.018231540220134002,0.5367446820085958,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
7000,8999,0.02269085236554161,0.5665710244273978,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
7500,9499,0.023853359928380998,0.6219644741853001,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
8000,9999,0.020457163099768107,0.5151164245688482,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
8500,10499,0.017044456037774366,0.49051286654697784,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
9000,10999,0.015405009175499394,0.4774844132528154,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
9500,11499,0.01699293619222144,0.49913206572003693,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
10000,11999,0.01602521037735957,0.501132065720037,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
10500,12499,0.016906123346422042,0.514795277732441,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
11000,12999,0.02203250652651432,0.582260078341766,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
11500,13499,0.024123678438079433,0.6386147924487242,0.056905462126536806,0.7892253990533704,0,0.7353527531771641,0.7353527531771641,0.7413106831813429
