configuration,macro_f1,precision_attack,recall_attack,f1_attack,fpr,tn,fp,fn,tp,average_precision
A2_M1_Adaptive,0.5842117161613672,0.33130287648054146,0.1441613900750994,0.20090293453724606,0.01674959524636993,115997,1976,5812,979,0.14749815377685171
A3_M1_DriftAware,0.5842117161613672,0.33130287648054146,0.1441613900750994,0.20090293453724606,0.01674959524636993,115997,1976,5812,979,0.14749815377685171
A4_M1_StateAware,0.5777471094036457,0.29904458598726114,0.13827124134884405,0.18910482328063638,0.018656811304281488,115772,2201,5852,939,0.14749815377685171
A5_B3_M1_Hybrid,0.5829640720491666,0.37819706498951783,0.13282285377705788,0.1965998256320837,0.01257067295059039,116490,1483,5889,902,0.21622365167141816
