row,adaptive_threshold,drift_threshold,threshold_used_drift_aware,operating_state,state_threshold,drift_flag,m1_score,true_label
0,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7142887771071267,0
1,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7140051903652697,0
2,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7228050514779358,0
3,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.718014715386414,0
4,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.716458221374484,0
5,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7241832800200853,0
6,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7238567053463636,0
7,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7102798063739068,0
8,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7107911083861695,0
9,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7125374156087244,0
10,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7120887913063682,0
11,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7079553719282213,0
12,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7219904441805557,0
13,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.721827632922509,0
14,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7214489099687003,0
15,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7113092507282566,0
16,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7096393411748482,0
17,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7146830228867943,0
18,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7144653478116206,0
19,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7141431554961054,0
20,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7133383102274514,0
21,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7216972022615671,0
22,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7216972022615671,0
23,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7209932649351185,0
24,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7212990871992556,0
25,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7212990871992556,0
26,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7207775174900931,0
27,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7186741091016874,0
28,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7203874218323028,0
29,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7162843188093299,0
30,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7162843188093299,0
31,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7141775130680575,0
32,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7160296057671534,0
33,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7126242517608325,0
34,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7151171434182831,0
35,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7156011456073587,0
36,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7182216210445629,0
37,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.71719750345758,0
38,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7200781402417392,0
39,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7226424840262283,0
40,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7198432453718927,0
41,0.7353527531771641,0.7413106831813429,0.7353527531771641,1,0.7368366322163673,0,0.7180116853605374,0
