configuration,macro_f1,precision_attack,recall_attack,f1_attack,fpr,tn,fp,fn,tp,average_precision
A0_B3_Fixed,0.5213294663276523,0.2297609868928296,0.0438816080106022,0.0736894164193867,0.0084680392971273,116974,999,6493,298,0.1374864957371706
A1_M1_Fixed,0.5839277069569591,0.3275459098497496,0.1444558975114121,0.2004904966278357,0.0170717028472616,115959,2014,5810,981,0.1474981537768517
A2_M1_Adaptive,0.5842117161613672,0.3313028764805414,0.1441613900750994,0.200902934537246,0.0167495952463699,115997,1976,5812,979,0.1474981537768517
A3_M1_DriftAware,0.5842117161613672,0.3313028764805414,0.1441613900750994,0.200902934537246,0.0167495952463699,115997,1976,5812,979,0.1474981537768517
A4_M1_StateAware,0.5777471094036457,0.2990445859872611,0.138271241348844,0.1891048232806363,0.0186568113042814,115772,2201,5852,939,0.1474981537768517
A5_B3_M1_Hybrid,0.5829640720491666,0.3781970649895178,0.1328228537770578,0.1965998256320837,0.0125706729505903,116490,1483,5889,902,0.2162236516714181
