feature_set,calibration_mean,external_normal_mean,mean_shift,ks_statistic,ks_p_value,wasserstein,normalized_wasserstein
B3,0.4650844654118736,0.5053219818294166,0.04023751641754297,0.32480085129676334,0.0,0.04023758331678905,0.7962126230000085
M1,0.6048238691469876,0.6691312344138213,0.06430736526683367,0.5635479662148107,0.0,0.06430736526683374,1.220479326973943
