feature_set,quantile,threshold,macro_f1,precision_attack,recall_attack,fpr,average_precision
B3,0.995,0.6058782950785706,0.8801165841077782,0.8910621761658031,0.7222805543889123,0.018506863603755065,0.8213816591840789
B3,0.999,0.6292528319553408,0.8778685276492424,0.9527015057573074,0.6776144477110457,0.007050652911585164,0.8213816591840789
B3,0.9995,0.6342553304074344,0.8786815008997239,0.9588021670536405,0.6763964720705586,0.006091200767561715,0.8213816591840789
B3,0.9999,0.63959920144074,0.8801149100012202,0.9679390691793606,0.6751994960100798,0.004687231804518227,0.8213816591840789
M1,0.995,0.691129384078356,0.7184803288689898,0.44538077764530204,0.8079798404031919,0.2108726173238327,0.8353932269597686
M1,0.999,0.7024777794868722,0.7981866493750779,0.5998084353388097,0.7758714825703485,0.10849291193725712,0.8353932269597686
M1,0.9995,0.7059027934014421,0.820741886428419,0.6589169675090253,0.7665686686266274,0.08316425556636284,0.8353932269597686
M1,0.9999,0.7123810504129234,0.86479556469865,0.8030729718160723,0.7485510289794204,0.03847051005004115,0.8353932269597686
