feature,normal_mean,attack_mean,attack_minus_normal
AIT402,0.009389788843691349,11.347914695739746,11.33852481842041
AIT504,0.0028070115949958563,7.146885395050049,7.144078254699707
LIT301,0.037229686975479126,5.0431809425354,5.005951404571533
AIT502,0.00967323500663042,4.816408157348633,4.806735038757324
LIT101,0.02546248957514763,3.3773367404937744,3.351874351501465
AIT401,0.007960127666592598,1.4290732145309448,1.421113133430481
AIT503,0.030038874596357346,1.1693817377090454,1.1393429040908813
LIT401,0.03287127614021301,0.8609827756881714,0.8281115293502808
AIT203,0.01325179636478424,0.5434991121292114,0.5302473306655884
PIT503,0.0033439896069467068,0.4957537353038788,0.49240973591804504
PIT501,0.002851512748748064,0.3667891323566437,0.3639376163482666
DPIT301,0.004156024660915136,0.28579580783843994,0.28163978457450867
