algorithm,m1_macro_f1,m1_attack_recall,m1_fpr,m1_minus_b3_macro_f1,ci95_low,ci95_high,statistically_supported_improvement,high_recall_heuristic_ge_0_90
IsolationForest,0.6401982299984417,0.18481494704272283,0.002301832907651905,0.13510826573649287,0.05103072544065701,0.21475110831188327,True,False
RandomForest,0.49065313124524695,0.0,0.00023874196498150876,-0.0033499124928406967,-0.010665180583053945,0.0003490941323880725,False,False
GradientBoosting,0.5358305948512924,0.21754135427823396,0.0817443478965932,0.003833868956169638,-0.013629154935376721,0.017940857690934623,False,False
