algorithm,comparison,metric,mean_difference,ci95_low,ci95_high,supports_improvement
IsolationForest,M1 - B3,macro_f1,0.13510826573649287,0.05103072544065701,0.21475110831188327,True
RandomForest,M1 - B3,macro_f1,-0.0033499124928406967,-0.010665180583053945,0.0003490941323880725,False
GradientBoosting,M1 - B3,macro_f1,0.003833868956169638,-0.013629154935376721,0.017940857690934623,False
